att,beta.gene.mdd,beta.Z.att.x,pval.gene.mdd,p.adj.gene.mdd,beta.gene.sex.mdd,beta.Z.att.y,pval.gene.sex.mdd,p.adj.gene.sex.mdd,beta.gene.sex,beta.Z.att,pval.gene.sex,p.adj.gene.sex
FFAR3,11.20768512,4.083503838,4.4362e-5,0.0175,8.54132706,3.02836242,0.0024588,0.20729,20.59082794,6.61246134,3.7798e-11,2.3025e-9
MBD2,-46.13238739,-4.078976284,4.5234e-5,0.0175,-40.6741252,-3.54453638,3.933e-4,0.14609,-43.58973463,-3.52166554,4.2884e-4,0.0024955
TMCC3,-32.98499431,-4.063807726,4.8279e-5,0.0175,-26.67899475,-3.22172192,0.0012742,0.18073,-49.58825146,-5.42502596,5.7946e-8,1.3703e-6
ZNF204P,26.13967468,4.04978033,5.1266e-5,0.0175,21.24705362,3.22098972,0.0012775,0.18073,37.91053775,5.32501757,1.0094e-7,2.1979e-6
C1orf101,13.18018453,4.006112341,6.1726e-5,0.017942,14.03780937,4.16461131,3.1188e-5,0.1011,-1.89648308,-0.54849355,0.58335,0.71108
CSF1R,-27.54260127,-4.02186405,5.7739e-5,0.017942,-21.56665548,-3.09839407,0.0019457,0.19498,-47.40294031,-5.95455519,2.6078e-9,9.3373e-8
DTX4,-18.91460003,-4.003385013,6.2443e-5,0.017942,-14.41639185,-2.97222432,0.0029565,0.224,-34.70623555,-6.45527492,1.0802e-10,5.8014e-9
FAM120AOS,-37.66641975,-4.018254683,5.8631e-5,0.017942,-32.79322831,-3.45989983,5.4038e-4,0.16408,-37.31476405,-3.65890733,2.5329e-4,0.0016059
NUDT3,-36.20226605,-4.021186541,5.7906e-5,0.017942,-29.56093444,-3.22221378,0.001272,0.18073,-50.57514526,-5.07840483,3.8062e-7,6.6856e-6
RTN3,-43.80004327,-4.027907393,5.6276e-5,0.017942,-37.84497206,-3.43117303,6.0098e-4,0.16408,-46.5384912,-3.94450426,7.9965e-5,6.2227e-4
STXBP1,20.48363499,4.012845783,5.9991e-5,0.017942,15.95116782,3.04639194,0.0023161,0.20388,35.45173893,6.11098592,9.9018e-10,4.0105e-8
TP53INP2,-20.14157299,-4.004226172,6.2221e-5,0.017942,-14.72954728,-2.8384609,0.0045332,0.25664,-43.96597116,-7.2647808,3.7364e-13,3.7935e-11
MAGI3,21.83160507,3.996028179,6.4414e-5,0.018166,19.65523882,3.54591946,3.9125e-4,0.14609,17.53391427,3.00528456,0.0026533,0.011196
ANP32A,-31.67883229,-3.989086099,6.6328e-5,0.01824,-29.33054296,-3.63719703,2.7562e-4,0.14045,-20.78188757,-2.42725108,0.015214,0.045608
ASH2L,-44.45144134,-3.955565718,7.6354e-5,0.01824,-37.17853013,-3.2546023,0.0011355,0.18073,-56.87891228,-4.56596055,4.9721e-6,5.8751e-5
ATP6V1B2,-35.60917842,-3.954623895,7.6655e-5,0.01824,-30.39858544,-3.33720621,8.4625e-4,0.18073,-39.97921533,-4.05551555,5.0024e-5,4.1996e-4
BIRC3,33.71962882,3.96820415,7.2416e-5,0.01824,27.45448065,3.1608645,0.001573,0.1853,47.87217554,5.15067825,2.5955e-7,4.8678e-6
DAZAP2,-46.01655372,-3.959391309,7.5141e-5,0.01824,-41.02240398,-3.47847743,5.0427e-4,0.16408,-40.83466306,-3.20832673,0.0013351,0.0063717
FLT3LG,38.34780781,3.96175104,7.4402e-5,0.01824,30.5175123,3.08746653,0.0020187,0.19581,59.13335432,5.52852467,3.2294e-8,8.2516e-7
GPR15,12.08581301,3.95659624,7.6025e-5,0.01824,11.58785672,3.73515176,1.876e-4,0.13605,5.40241291,1.64138443,0.10072,0.20113
HSF4,18.96346329,3.978832248,6.9255e-5,0.01824,14.98495068,3.06336534,0.0021886,0.19958,30.81637487,5.77666778,7.6195e-9,2.3681e-7
MCOLN2,17.34799933,3.959393779,7.514e-5,0.01824,14.36903073,3.21301219,0.0013135,0.18073,23.15408445,4.79338618,1.6399e-6,2.3433e-5
SCAI,33.83308738,3.970610799,7.1689e-5,0.01824,29.95765458,3.45749314,5.4523e-4,0.16408,31.30467466,3.38142547,7.2111e-4,0.0038371
RMND5A,-40.36215885,-3.933104229,8.3856e-5,0.019647,-33.82384462,-3.24507886,0.0011742,0.18073,-50.56182705,-4.47873506,7.5087e-6,8.3895e-5
BRD7,-39.76193416,-3.915034224,9.0391e-5,0.019708,-39.42219269,-3.81051755,1.3868e-4,0.13605,-10.15994496,-0.94499629,0.34466,0.49527
C20orf11,-46.69430478,-3.912440526,9.1368e-5,0.019708,-37.27678612,-3.06684322,0.0021633,0.19847,-72.50343077,-5.39965661,6.6769e-8,1.5523e-6
CXorf36,9.3882453,3.924313149,8.6978e-5,0.019708,0.56852112,0.16661684,0.86767,0.96797,105.65402918,15.09028076,1.8764e-51,9.5253e-48
DDOST,-50.98674547,-3.917219088,8.9576e-5,0.019708,-44.79907424,-3.38519088,7.1129e-4,0.17785,-49.40577608,-3.51524331,4.3935e-4,0.0025431
GALNT2,-43.4886152,-3.91129149,9.1804e-5,0.019708,-37.8133808,-3.35656769,7.8916e-4,0.18073,-44.58256993,-3.68437939,2.2926e-4,0.0014769
MLF2,-39.77054811,-3.909577842,9.2458e-5,0.019708,-30.8421838,-2.97240653,0.0029548,0.224,-69.97502152,-5.9632639,2.4725e-9,8.9226e-8
RHBDL1,16.11311394,3.90770901,9.3175e-5,0.019708,16.85152255,4.00949907,6.0848e-5,0.13238,-0.97987735,-0.22462214,0.82227,0.88805
ADCY5,16.46400034,3.903551693,9.4791e-5,0.019775,15.35081179,3.59254177,3.2747e-4,0.14249,9.80606353,2.18608356,0.028809,0.076144
LSM14A,-55.04574941,-3.892253561,9.9317e-5,0.020167,-47.62611734,-3.33527653,8.5215e-4,0.18073,-57.20509048,-3.67943166,2.3375e-4,0.001502
UTY,-8.96306414,-3.893213217,9.8925e-5,0.020167,7.36491695,1.55526152,0.11988,0.52866,-217.22532921,-10.6099088,2.6801e-26,9.2762e-24
IPW,25.61396611,3.880009227,1.0445e-4,0.020566,18.52270811,2.73294933,0.006277,0.2623,55.30209773,7.14116935,9.254e-13,8.6994e-11
MRFAP1,-41.23724356,-3.874085145,1.0703e-4,0.020566,-39.64801962,-3.66376126,2.4854e-4,0.14045,-17.79560017,-1.57157015,0.11605,0.22335
PSME3,-38.71794648,-3.879354278,1.0473e-4,0.020566,-29.94824145,-2.93734566,0.0033103,0.23232,-68.33034671,-5.9678957,2.4033e-9,8.6937e-8
TTTY15,-8.87169884,-3.871792168,1.0804e-4,0.020566,8.79499584,1.78917859,0.073586,0.45966,-245.0912221,-9.52009589,1.7302e-21,4.543e-19
ZFY,-8.89684524,-3.872296693,1.0781e-4,0.020566,7.98415039,1.66498938,0.095915,0.49633,-233.39731377,-9.9719502,2.0222e-23,5.8105e-21
ABCC6,-17.43176099,-3.859676484,1.1354e-4,0.02074,-12.29329958,-2.62419695,0.0086854,0.29134,-41.32888339,-7.57519943,3.5858e-14,4.1685e-12
GOLT1B,35.90473375,3.859009635,1.1385e-4,0.02074,32.01224695,3.38740603,7.0557e-4,0.17785,31.27012765,3.13577906,0.001714,0.007855
RHOA,-47.09784366,-3.857833242,1.144e-4,0.02074,-38.00251142,-3.07394119,0.0021125,0.19847,-69.79830415,-5.06636286,4.0549e-7,7.0432e-6
XIST,9.40114059,3.860764826,1.1303e-4,0.02074,-7.75463944,-1.56294342,0.11807,0.52666,222.33742035,10.76028003,5.3009e-27,1.9221e-24
PSAP,-32.6267828,-3.848659133,1.1877e-4,0.02079,-27.17297264,-3.16646946,0.001543,0.1853,-42.70289602,-4.45897773,8.2351e-6,9.0484e-5
PVRL1,-25.60717993,-3.852960562,1.167e-4,0.02079,-19.07313923,-2.79619565,0.0051708,0.2567,-50.48436936,-6.57716888,4.7949e-11,2.8303e-9
RGPD1,9.1941727,3.84936137,1.1843e-4,0.02079,7.92497985,3.26496299,0.0010948,0.18073,9.74790081,3.77616873,1.5926e-4,0.0010935
PRKY,-8.80923317,-3.838827601,1.2362e-4,0.021394,6.02950293,1.3647838,0.17232,0.59373,-199.02363113,-11.44061004,2.6204e-30,1.1402e-27
C5orf28,29.80673669,3.831429161,1.274e-4,0.0218,28.85336924,3.649737,2.6251e-4,0.14045,11.64627364,1.41629747,0.15669,0.27922
C1orf144,-54.31669709,-3.820541056,1.3316e-4,0.022308,-49.58616513,-3.44838088,5.6396e-4,0.16408,-38.2181098,-2.50478087,0.012253,0.03845
EXTL3,-31.59638233,-3.820279447,1.333e-4,0.022308,-22.19160623,-2.59417097,0.0094819,0.29679,-76.24760547,-7.61711966,2.594e-14,3.1858e-12
DDX3Y,-8.75968291,-3.817413036,1.3486e-4,0.022323,7.55518839,1.6288286300000001,0.10335,0.50734,-213.11486963,-10.67051439,1.3985e-26,4.953e-24
LOC100233209,28.9443355,3.80787489,1.4017e-4,0.022708,21.04018975,2.68297669,0.007297,0.2717,61.73802465,6.92187857,4.4569e-12,3.428e-10
USP9Y,-8.74773241,-3.809870481,1.3904e-4,0.022708,7.86744238,1.68164329,0.092638,0.49037,-220.51418337,-10.42276022,1.952e-25,6.6061e-23
