att,beta.gene.sex,pval.gene.sex,p.bon.gene.sex
GPS2,-70.96503692,2.5786e-11,3.92694994e-7
MT2A,33.765803150000004,2.6232e-11,3.99487128e-7
CD300A,54.26908873,2.6973e-11,4.1077181700000004e-7
GDF10,-26.07852891,2.7574e-11,4.19924446e-7
ZNF276,88.65092131,2.7733e-11,4.22345857e-7
DSC2,25.55707894,2.84e-11,4.325036e-7
MDFIC,64.78741357,2.9239e-11,4.45280731e-7
REM2,42.14767311,3.0218e-11,4.6018992200000003e-7
TMEM107,63.78329899,3.1044e-11,4.72769076e-7
HYAL3,-29.2454197,3.1991e-11,4.87190939e-7
GBP5,32.64913369,3.2722e-11,4.98323338e-7
RAI2,-28.91098623,3.5182e-11,5.35786678e-7
DNAH10,-23.42397884,3.522e-11,5.363653800000001e-7
FFAR3,20.59082794,3.7798e-11,5.756257419999999e-7
NCRNA00282,28.7241091,3.9166e-11,5.96459014e-7
CHM,75.09554128,3.9865e-11,6.071040850000001e-7
RAI1,-67.42446423,4.0916e-11,6.23109764e-7
TNFSF13B,27.64408665,4.137e-11,6.3002373e-7
ACVR1B,-71.34772139,4.3395e-11,6.608624550000001e-7
PCOLCE2,-17.55581413,4.601e-11,7.006862899999999e-7
ITK,93.63363934,4.7513e-11,7.23575477e-7
PVRL1,-50.48436936,4.7949e-11,7.30215321e-7
REEP4,-75.13834433,5.0293e-11,7.65912097e-7
IL2RG,57.10849178,5.1547e-11,7.85009263e-7
FAM101B,-41.51977029,5.5149e-11,8.398641210000001e-7
RXRA,-60.8563716,5.7839e-11,8.80830131e-7
SLC25A3,-85.40230778,6.0063e-11,9.146994269999999e-7
MEGF6,-49.40636889,6.3375e-11,9.65137875e-7
ZNF747,-78.48105363,6.5369e-11,9.95504501e-7
FGR,-67.42463833,6.641e-11,1.01135789e-6
NPEPL1,-67.39070107,6.7577e-11,1.029130133e-6
C5orf23,-19.91713138,6.8059e-11,1.036470511e-6
ALPK1,47.86675419,7.4057e-11,1.127814053e-6
FUCA2,-68.9401963,8.0658e-11,1.2283406820000001e-6
ANKRD32,53.38045951,8.3361e-11,1.2695046690000002e-6
INPP5D,-75.34453241,8.737e-11,1.33055773e-6
C14orf101,69.88423827,8.9505e-11,1.363071645e-6
MAN2B1,-73.43157259,8.9761e-11,1.366970269e-6
ATG2A,-44.63220078,9.233e-11,1.4060935700000002e-6
CD96,71.81961513,9.4446e-11,1.438318134e-6
SUOX,-59.46277055,1.0162e-10,1.54757098e-6
DOCK2,-78.09819866,1.0233e-10,1.5583835699999999e-6
ZNF862,74.56591572,1.0321e-10,1.57178509e-6
UBA1,67.852842,1.0479e-10,1.59584691e-6
FCGR1C,18.54867599,1.049e-10,1.5975220999999999e-6
DAPP1,64.16920193,1.0556e-10,1.60757324e-6
DTX4,-34.70623555,1.0802e-10,1.64503658e-6
CTDNEP1,-87.37665438,1.0819e-10,1.6476255100000001e-6
SCPEP1,-65.54610604,1.088e-10,1.6569152e-6
PCBP2,-83.39444088,1.1041e-10,1.68143389e-6
COL8A2,-37.95689688,1.1186e-10,1.70351594e-6
B3GNT9,45.63186498,1.1272e-10,1.71661288e-6
CEACAM8,-18.41310449,1.1305e-10,1.72163845e-6
C5orf45,52.58276998,1.1311e-10,1.72255219e-6
ZKSCAN2,-55.03383392,1.139e-10,1.7345831e-6
CTSD,-55.24552608,1.1787e-10,1.79504223e-6
MCOLN3,20.83868718,1.2072e-10,1.83844488e-6
LY9,70.96231176,1.2289e-10,1.87149181e-6
PRRT4,-22.17838763,1.2648e-10,1.9261639200000003e-6
IFIT3,26.99805001,1.2705e-10,1.9348444499999998e-6
FBRS,-84.79002295,1.2831e-10,1.95403299e-6
MDH2,-85.41316478,1.2929e-10,1.96895741e-6
TLR10,57.61439963,1.3239e-10,2.01616731e-6
SH2B3,-77.21624788,1.3252e-10,2.01814708e-6
LOC402778,-32.04338284,1.342e-10,2.0437318e-6
PADI4,-34.71990708,1.3481e-10,2.05302149e-6
CDKN2A,27.81442881,1.3985e-10,2.12977565e-6
RIN3,-77.29883039,1.4189e-10,2.1608428099999998e-6
ZNF254,47.37281662,1.4339e-10,2.18368631e-6
LPL,-19.91787119,1.4453e-10,2.20104737e-6
TTC26,23.66255072,1.4608e-10,2.22465232e-6
HSD3B7,25.91094804,1.4871e-10,2.26470459e-6
H2AFY,-79.26560008,1.6273e-10,2.47821517e-6
RTN1,-44.97492897,1.6545e-10,2.51963805e-6
H6PD,-52.62283262,1.7237e-10,2.62502273e-6
METRN,33.28366409,1.7662e-10,2.68974598e-6
VENTX,-35.09563674,1.8414e-10,2.8042680599999997e-6
FAM8A1,73.06347546,1.8794e-10,2.86213826e-6
NHS,-44.31895986,1.8796e-10,2.86244284e-6
PLAUR,52.65826823,1.9121e-10,2.91193709e-6
H2AFY2,-43.90549431,1.9729e-10,3.00452941e-6
OSBPL3,65.57750263,1.991e-10,3.0320939e-6
SULF2,-45.77539035,2.0801e-10,3.16778429e-6
FLJ39051,30.64419054,2.0884e-10,3.18042436e-6
ETF1,-111.57639613,2.1018e-10,3.2008312199999997e-6
C14orf106,-82.05267637,2.3189e-10,3.5314528099999997e-6
DDX58,35.85094496,2.3655000000000003e-10,3.6024199500000006e-6
PTPN9,-84.78501503,2.3782e-10,3.6217607800000002e-6
EMID1,-20.71530135,2.4461e-10,3.7251656899999998e-6
GADD45B,46.08194987,2.5886e-10,3.94217894e-6
PMEPA1,-55.46325229,2.6067e-10,3.96974343e-6
ULK2,-60.94218628,2.6254e-10,3.99822166e-6
PPP1R13L,45.93274857,2.6376e-10,4.01680104e-6
C19orf54,-62.21126974,2.6407e-10,4.02152203e-6
CASP4,47.36285562,2.7965e-10,4.25878985e-6
CDC42EP4,-50.58996602,2.8226e-10,4.298537540000001e-6
EML3,-72.94599605,2.9977e-10,4.56519733e-6
RASGRP1,89.77348673,3.026e-10,4.608295400000001e-6
TMEM38A,36.55768796,3.0924e-10,4.7094159600000005e-6
LRRC41,-91.66810846,3.2284e-10,4.91653036e-6
LOXL1,26.30160029,3.2685e-10,4.97759865e-6
ERG,-20.17963917,3.4743e-10,5.29101147e-6
CEBPA,-47.87023063,3.5301e-10,5.37598929e-6
VPS26B,-102.18552814,3.6094e-10,5.4967552599999995e-6
GBP2,36.04787469,3.6327e-10,5.53223883e-6
IL1B,37.20531803,3.7719e-10,5.744226510000001e-6
LOC100130633,66.00475984,3.9264e-10,5.97951456e-6
SFXN5,-60.90818205,3.9439e-10,6.00616531e-6
CAMSAP1,-88.6982652,4.1478e-10,6.31668462e-6
F12,-31.63878086,4.2027e-10,6.40029183e-6
SH3RF2,17.37589618,4.2729e-10,6.5071994099999995e-6
SLC27A1,-59.50789003,4.3384e-10,6.6069493600000005e-6
GOLGA7,88.93978748,4.3445e-10,6.6162390499999994e-06
NCALD,48.38233971,4.5786e-10,6.9727499400000005e-6
STK11IP,-81.99175581,4.7442e-10,7.22494218e-6
X5.Sep,-23.45303129,5.1065e-10,7.77668885e-6
ZNF768,-66.16458046,5.1142e-10,7.78841518e-6
NAGA,-70.35101076,5.5568e-10,8.46245072e-6
SLC43A3,-64.32992733,5.5616e-10,8.46976064e-6
TSHZ2,-28.06588123,5.5782e-10,8.49504078e-6
LAMB2,-27.20475617,5.6534e-10,8.609562860000001e-6
CISH,33.56874576,6.0754e-10,9.252226659999999e-6
TNPO2,-90.6917957,6.2357e-10,9.49634753e-6
DMWD,59.27046199,7.1314e-10,1.086040906e-5
KDM5B,-71.46199975,7.3893e-10,1.1253164969999999e-5
AMMECR1,73.94003569,7.5724e-10,1.153200796e-5
MAP3K3,-86.57341209,7.9193e-10,1.206030197e-5
SCARB1,-40.02215884,8.0835e-10,1.231036215e-5
AP1M1,-66.89830794,8.1834e-10,1.246249986e-5
PPP3CC,81.73704372,8.4243e-10,1.282936647e-5
GUSB,-76.76710243,8.6957e-10,1.324268153e-5
LRP3,-35.74545131,8.7101e-10,1.326461129e-5
MEF2D,-87.21347161,8.7775e-10,1.336725475e-5
GPR18,50.00296365,8.8314e-10,1.344933906e-5
SLC2A5,-24.78634037,9.0488e-10,1.378041752e-5
ACO2,-80.62120735,9.2165e-10,1.403580785e-5
C14orf4,-52.87479964,9.5523e-10,1.454719767e-5
EIF4EBP3,-41.59557324,9.844e-10,1.49914276e-5
SGPL1,-83.31918569,9.8534e-10,1.5005742860000001e-5
STXBP1,35.45173893,9.9018e-10,1.5079451219999999e-5
TCEANC,51.67769534,9.9753e-10,1.519138437e-5
COL17A1,-16.33546471,1.0876e-9,1.65630604e-5
FCGR2B,21.94531554,1.1016e-9,1.67762664e-5
CLEC2D,74.82611337,1.1082e-9,1.68767778e-5
KIAA0040,58.56827569,1.1116e-9,1.69285564e-5
CEACAM4,-33.04356125,1.1378e-9,1.73275562e-5
HGSNAT,-67.58025313,1.1514e-9,1.75346706e-5
AGFG1,-84.33934097,1.1541e-9,1.75757889e-5
PIP5K1C,-78.20871827,1.1603e-9,1.76702087e-5
PPP2R5D,-86.31686563,1.1743e-9,1.78834147e-5
GTF3C1,-77.68634951,1.1953e-9,1.82032237e-5
WHSC1L1,-74.73379165,1.197e-9,1.8229112999999997e-5
PCDH1,-26.75681965,1.2171e-9,1.85352159e-5
FBXW4,-84.05060829,1.2551e-9,1.9113917899999998e-5
NRXN2,-21.94224658,1.3123e-9,1.9985016699999998e-5
